"Question ID","Current Section/Title","Book Question (Section/Title)","Status","Details/Issues","Corrective Action","Replit Implementation"
"1–9","Your Foundation (Various)","Your Foundation (Various)","Correct","Matches book text, options, weights per chart updates.","None","N/A"
"10","Marriage Priorities","Order of Priority before God","Minor Issue","Correct text/options, but title should be “Order of Priority before God.”","Update title.","SQL: UPDATE questions SET section = 'Your Marriage Life: Order of Priority before God' WHERE id = 10; JSON: Update questions[9].section to ""Your Marriage Life: Order of Priority before God""."
"11","Worship Life: Marriage (Husband and Wife)","Worship Life: Marriage (Husband and Wife)","Correct","Added per chart, matches book.","None","N/A"
"12","Worship Life: Marriage","N/A (Duplicate)","Incorrect","Duplicate of Question 11; should be replaced with “Your Marriage Life: Sex Perspective: Declaration” (next in book order).","Replace with book question.","SQL: UPDATE questions SET section = 'Your Marriage Life: Sex Perspective: Declaration', type = 'Agree/Disagree', weight = 8, question_text = 'We share the belief that sex in marriage is a duty before God and not a conditional expression of love and honor...', response_options = '[""Agree"", ""Disagree""]' WHERE id = 12; JSON: Update questions[11] with new fields."
"13–14","Worship Life: Family/Serving","Worship Life: Family/Serving","Correct","Updated per chart, matches book.","None","N/A"
"15–23","Your Marriage Life (Various)","Your Marriage Life (Various)","Correct","Updated per chart, matches book.","None","N/A"
"24","Communication & Conflict Resolution: Counseling","Communication & Conflict Resolution: Counseling","Incorrect","Options don’t match book (book: monthly/bi-weekly for year 1, etc.).","Update options per chart.","SQL: UPDATE questions SET response_options = '[""Monthly counseling sessions for the first year of our marriage, with a minimum of bi-monthly in year 2 and a minimum of quarterly in years 3+"", ""Bi-weekly counseling sessions for the first year of our marriage, with a minimum of monthly in year 2 and a minimum of quarterly in years 3+"", ""Other: Please detail""]' WHERE id = 24; JSON: Update questions[23].response_options."
"25–30","Your Marriage Life (Various)","Your Marriage Life (Various)","Correct","Updated per chart, matches book.","None","N/A"
"31–35","Your Money & Finances (Various)","N/A","Incorrect","Extraneous; should be replaced with book questions (e.g., Sex - Frequency, Work Down Time).","Remove and replace with book questions: 31 (Sex - Frequency), 32 (Work Down Time), 33 (Communication & Discipline), 34 (Social Media: New Child), 35 (Communication: Sex/Gender).","SQL: DELETE FROM questions WHERE id IN (31,32,33,34,35); INSERT INTO questions (id, section, type, weight, question_text, response_options) VALUES (31, 'Your Marriage Life: Sex - Frequency', 'Multiple Choice', 8, 'We commit to having sex at least how often?', '[""3 times per week"", ""Daily"", ""2 times per week""]'), (32, 'Your Marriage Life: Relationship Model (Work/Family Life Boundaries – Work Down Time)', 'Multiple Choice', 3, 'We commit to a marriage/work model with guarded time, what is your approach?', '[""At least 2 hours daily where it’s our time to connect directly (not including children), and no work is to be done. Our preliminary guarded time is [fill-in] (am/pm)"", ""At least 1.5 hours daily..."", ""At least 1 hour daily..."", ""Other: Please detail""]'), (33, 'Your Marriage Life with Children: Communication & Discipline', 'Agree/Disagree', 7, 'We commit to being a united front before our children...', '[""Agree"", ""Disagree""]'), (34, 'Your Marriage Life with Children: Social Media (New Child)', 'Multiple Choice', 3, 'We’re committed to guarding the image and identity of our children...', '[""Not posting any photos of them on social media indefinitely"", ""Limiting exposure by restricting others from sharing photos..."", ""Approaching with discretion, no specific restrictions"", ""Limiting exposure by limiting others without permission...""]'), (35, 'Your Marriage Life with Children: Communication: Sex / Gender & Sexuality', 'Multiple Choice', 3, 'We commit to discussing gender and sexuality...', '[""Discuss by age [fill-in] with God’s design..."", ""Study further and rely on faith community"", ""Other: Please detail""]'); JSON: Update questions[30-34] with new objects."
"36–50","Your Parenting Life (Various)","N/A","Incorrect","Extraneous; should be replaced with book questions (e.g., Communication: Race, Pregnancy Announcement).","Remove and replace with book questions: 36–50 (map to book’s “Your Marriage Life with Children” and “Your Family Life”).","SQL: DELETE FROM questions WHERE id BETWEEN 36 AND 50; INSERT INTO questions (id, section, type, weight, question_text, response_options) VALUES (36, 'Your Marriage Life with Children: Communication: Race / Racial Dynamics', 'Multiple Choice', 3, 'We commit to discussing race...', '[""No explicit discussion"", ""Discuss together by age 10..."", ""Discuss one-on-one by age 10..."", ""Other: Please detail""]'), (37, 'Your Marriage Life with Children: Pregnancy Announcement', 'Multiple Choice', 2, 'We commit to pregnancy announcement...', '[""Private until end of 1st trimester"", ""Private until end of 2nd trimester"", ""No specific guideline"", ""Not Applicable""]'), (38, 'Your Family Life: Traditions: Family Dinner', 'Multiple Choice', 5, 'We are committed to eating dinner as a family...', '[""Every day"", ""Once weekly on [fill-in]"", ""Once monthly on [fill-in]"", ""Other: Please detail""]'), (39, 'Your Family Life: Traditions: Family Vacations', 'Multiple Choice', 3, 'We are committed to family vacations...', '[""At least one per year"", ""At least two per year"", ""Other: Please detail""]'), (40, 'Your Family Life: Traditions: Family Photos', 'Multiple Choice', 3, 'We are committed to taking family photos...', '[""Once per year"", ""Once every two years"", ""Other: Please detail""]'), (41, 'Your Family Life: House Cleaning & Maintenance', 'Multiple Choice', 5, 'We commit to house cleaning responsibilities...', '[""[fill-in] being the primary individual..."", ""Shared responsibilities"", ""Other: Please detail""]'), (42, 'Your Family Life: Cleaning Model with Home (Inside)', 'Multiple Choice', 3, 'We commit to a model of house cleaning...', '[""Weekly on Saturdays/Sundays..."", ""Bi-weekly on Saturdays/Sundays..."", ""Bi-weekly by outside vendor..."", ""Other: Please detail""]'), (43, 'Your Family Life: Cleaning Model with Food', 'Multiple Choice', 3, 'We commit to a model for food preparation cleanup...', '[""Person who prepares food not responsible for cleanup..."", ""Person who prepares food responsible for cleanup..."", ""Person who prepares food cleans as they cook..."", ""Other: Please detail""]'), (44, 'Your Family Life: Cleaning Model with Home (Outside)', 'Multiple Choice', 3, 'We commit to a model of outside housework...', '[""Weekly on Saturdays/Sundays..."", ""Monthly on Saturdays/Sundays..."", ""By hired outside vendor..."", ""Other: Please detail""]'), (45, 'Your Family Life: Traditions: Family Outings', 'Multiple Choice', 3, 'We are committed to family outings...', '[""Once weekly"", ""Bi-weekly"", ""Monthly"", ""Other: Please detail""]'), (46, 'Your Finances: Financial Generosity (in Faith)', 'Multiple Choice', 5, 'We commit to giving to our faith community...', '[""At least 10% of net income monthly"", ""At least 2% of net income monthly, increasing 1% yearly"", ""At least 10% to faith community and 2% to causes..."", ""Other: Please detail""]'), (47, 'Your Finances: Financial Management: Payments Execution (Public Social)', 'Multiple Choice', 3, 'We commit to handling payments when going out...', '[""[fill-in] pays unless discussed otherwise"", ""Flexible setup, discuss each time"", ""Other: Please detail""]'), (48, 'Your Finances: Financial Management: with Children (Allowance)', 'Multiple Choice', 3, 'We commit to giving our children an allowance...', '[""Weekly allowance to teach stewardship"", ""No allowance, provide as needed"", ""Monthly allowance to teach stewardship"", ""Other: Please detail""]'), (49, 'Your Finances: Financial Management: with Children (Investments/Savings)', 'Multiple Choice', 3, 'We commit to saving/investing for our children...', '[""529 plan with monthly deposits"", ""Savings account with monthly deposits"", ""Brokerage account with monthly stock purchases"", ""Both 529 and brokerage"", ""Other: Please detail""]'), (50, 'Your Family Life: Food Preparation & Planning: Overall Model: Responsibility', 'Multiple Choice', 5, 'We commit to food planning and preparation...', '[""[fill-in] responsible for overall planning..."", ""[fill-in] responsible for weekdays, [fill-in] for weekends"", ""Chef/nanny responsible"", ""Other: Please detail""]'); JSON: Update questions[35-49] with new objects."
